Name,Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine,Power,Seats,Price,Brand,Model,Age,Mileage(kmpl)
Maruti Wagon R LXI CNG,Mumbai,72000,CNG,Manual,First,998.0,58.16,5.0,1.75,Maruti,Wagon,10,
Hyundai Creta 1.6 CRDi SX Option,Pune,41000,Diesel,Manual,First,1582.0,126.2,5.0,12.5,Hyundai,Creta,5,19.67
Honda Jazz V,Chennai,46000,Petrol,Manual,First,1199.0,88.7,5.0,4.5,Honda,Jazz,9,18.2
Maruti Ertiga VDI,Chennai,87000,Diesel,Manual,First,1248.0,88.76,7.0,6.0,Maruti,Ertiga,8,20.77
Audi A4 New 2.0 TDI Multitronic,Coimbatore,40670,Diesel,Automatic,Second,1968.0,140.8,5.0,17.74,Audi,A4,7,15.2
Hyundai EON LPG Era Plus Option,Hyderabad,75000,LPG,Manual,First,814.0,55.2,5.0,2.35,Hyundai,EON,8,29.54
Nissan Micra Diesel XV,Jaipur,86999,Diesel,Manual,First,1461.0,63.1,5.0,3.5,Nissan,Micra,7,23.08
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,36000,Diesel,Automatic,First,2755.0,171.5,8.0,17.5,Toyota,Innova,4,11.36
Volkswagen Vento Diesel Comfortline,Pune,64430,Diesel,Manual,First,1598.0,103.6,5.0,5.2,Volkswagen,Vento,7,20.54
Tata Indica Vista Quadrajet LS,Chennai,65932,Diesel,Manual,Second,1248.0,74.0,5.0,1.95,Tata,Indica,8,22.3
Maruti Ciaz Zeta,Kochi,25692,Petrol,Manual,First,1462.0,103.25,5.0,9.95,Maruti,Ciaz,2,21.56
Honda City 1.5 V AT Sunroof,Kolkata,60000,Petrol,Automatic,First,1497.0,116.3,5.0,4.49,Honda,City,8,16.8
Maruti Swift VDI BSIV,Jaipur,64424,Diesel,Manual,First,1248.0,74.0,5.0,5.6,Maruti,Swift,5,25.2
Land Rover Range Rover 2.2L Pure,Delhi,72000,Diesel,Automatic,First,2179.0,187.7,5.0,27.0,Land,Rover,6,12.7
Land Rover Freelander 2 TD4 SE,Pune,85000,Diesel,Automatic,Second,2179.0,115.0,5.0,17.5,Land,Rover,8,
Mitsubishi Pajero Sport 4X4,Delhi,110000,Diesel,Manual,First,2477.0,175.56,7.0,15.0,Mitsubishi,Pajero,6,13.5
Honda Amaze S i-Dtech,Kochi,58950,Diesel,Manual,First,1498.0,98.6,5.0,5.4,Honda,Amaze,4,25.8
Maruti Swift DDiS VDI,Jaipur,25000,Diesel,Manual,First,1248.0,74.0,5.0,5.99,Maruti,Swift,3,28.4
Renault Duster 85PS Diesel RxL Plus,Kochi,77469,Diesel,Manual,First,1461.0,83.8,5.0,6.34,Renault,Duster,6,20.45
Mercedes-Benz New C-Class C 220 CDI BE Avantgare,Bangalore,78500,Diesel,Automatic,First,2143.0,167.62,5.0,28.0,Mercedes-Benz,New,6,14.84
BMW 3 Series 320d,Kochi,32982,Diesel,Automatic,First,1995.0,190.0,5.0,18.55,BMW,3,6,22.69
Maruti S Cross DDiS 200 Alpha,Bangalore,55392,Diesel,Manual,Second,1248.0,88.5,5.0,8.25,Maruti,S,5,23.65
Audi A6 2011-2015 35 TFSI Technology,Mumbai,55985,Petrol,Automatic,First,1984.0,177.01,5.0,23.5,Audi,A6,5,13.53
Hyundai i20 1.2 Magna,Kolkata,45807,Petrol,Manual,First,1197.0,80.0,5.0,1.87,Hyundai,i20,10,18.5
Volkswagen Vento Petrol Highline AT,Kolkata,33000,Petrol,Automatic,First,1598.0,103.6,5.0,2.85,Volkswagen,Vento,10,14.4
Honda City Corporate Edition,Mumbai,51920,Petrol,Manual,First,1497.0,116.3,5.0,4.25,Honda,City,8,16.8
Nissan Micra Diesel XV,Hyderabad,54000,Diesel,Manual,First,1461.0,63.1,5.0,4.25,Nissan,Micra,8,23.08
Maruti Alto K10 2010-2014 VXI,Hyderabad,54000,Petrol,Manual,Second,998.0,67.1,5.0,2.75,Maruti,Alto,7,20.92
Honda WRV i-VTEC VX,Kochi,37430,Petrol,Manual,First,1199.0,88.7,5.0,9.9,Honda,WRV,2,17.5
Toyota Innova 2.5 V Diesel 7-seater,Mumbai,262000,Diesel,Manual,Fourth & Above,2494.0,102.0,7.0,4.0,Toyota,Innova,13,12.8
Renault Duster 110PS Diesel RxZ Pack,Bangalore,62000,Diesel,Manual,First,1461.0,108.45,5.0,7.75,Renault,Duster,7,19.01
